"","NFCSID","STATEQ","CENSUSDIV","CENSUSREG","A3","A3Ar_w","A3B","A4A_new_w","A5_2012","A6","A7","A7A","A11","A8","AM21","AM22","X3","X4","AM8","A9","A10","A10A","A21","A22","A14","J1","J2","J3","J4","J5","J6","J8","J9","J10","J20","J11","J12","K_1","K_2","K_3","K_4","K_5","B20_1","B20_2","B20_3","B20_4","B11A","B21","B22_1","B22_2","B22_3","B22_4","B22_5","B22_6","B22_7","B22_8","B1","B2","B4","B23","B14","C1_2012","C2_2012","C3_2012","C4_2012","C5_2012","C10_2012","C11_2012","D20_1","D20_2","D20_3","D20_4","D20_5","D20_6","D20_7","EA_1","EA_2A","E4A","E5_2012","E7","E8","E20","E15","E16","F1","F2_1","F2_2","F2_3","F2_4","F2_5","F2_6","F10","G1","G20","G21","G22","G4","G25_1","G25_2","G25_3","G25_4","G25_5","G23","H1","H3","M1_1","M1_2","M4","M20","M21_1","M21_2","M21_3","M21_4","M22","M6","M7","M8","M9","M10","wgt_n2","wgt_d2","wgt_s3"
"1",2012010001,24,4,2,2,5,11,1,6,4,1,3,5,5,3,NA,1,NA,NA,1,NA,1,NA,NA,NA,7,4,3,3,98,NA,98,NA,1,2,2,2,2,2,2,2,1,1,1,1,2,2,3,2,2,1,3,3,2,3,3,1,1,2,NA,1,2,NA,NA,1,1,2,2,2,2,2,2,2,1,2,1,2,1,NA,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,NA,2,1,1,1,1,1,4,1,98,7,7,6,3,NA,NA,NA,NA,1,1,3,4,1,2,0.363417416,1.260305219,0.631539715
"2",2012010002,10,5,3,2,5,11,1,4,1,2,1,5,2,3,3,1,NA,NA,8,6,2,2,NA,3,3,1,3,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,2,1,2,NA,3,2,2,3,1,3,2,3,3,1,1,2,NA,2,1,3,98,2,NA,NA,NA,2,1,2,2,1,2,2,1,2,13,50,2,2,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,2,1,1,1,1,1,1,2,2,6,6,5,98,NA,NA,NA,NA,1,1,98,98,98,98,1.17359319,2.956766129,1.005696837
"3",2012010003,23,3,2,2,6,12,1,4,4,1,3,5,3,3,NA,1,NA,NA,8,NA,2,2,NA,NA,3,5,2,2,1,NA,NA,2,2,1,1,1,2,2,1,2,2,2,2,1,2,NA,3,3,2,1,3,2,1,3,3,1,1,2,NA,2,2,NA,NA,1,2,2,1,2,2,1,1,2,2,2,1,1,1,NA,1,2,98,1,2,4,1,2,2,2,2,2,2,2,2,2,NA,2,1,1,1,1,1,98,1,2,7,7,5,3,NA,NA,NA,NA,1,1,3,98,1,2,1.577671128,1.168196715,1.025873396
"4",2012010004,14,3,2,2,6,12,1,2,5,1,3,6,2,3,NA,1,NA,NA,8,NA,2,2,NA,NA,4,1,1,2,2,NA,NA,98,2,3,2,1,1,2,1,1,2,2,2,1,2,NA,3,1,2,1,1,3,1,3,3,1,1,2,NA,1,2,NA,NA,1,2,2,2,2,1,2,2,1,2,2,1,2,1,NA,2,2,NA,NA,2,3,2,1,1,1,2,2,1,1,2,2,NA,2,1,1,1,1,1,5,1,1,4,4,98,3,NA,NA,NA,NA,1,2,98,98,98,98,1.577671128,1.53150393,1.179333615
"5",2012010005,44,7,3,2,2,8,2,4,1,2,1,3,4,3,2,1,NA,2,4,2,1,2,NA,1,5,3,1,2,1,1,2,NA,1,4,1,2,2,2,2,2,1,1,2,1,1,NA,3,2,3,3,1,2,1,3,3,1,1,2,NA,2,2,NA,NA,2,NA,NA,NA,2,2,2,2,2,2,2,1,2,4,50,2,2,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,1,2,1,2,5,7,2,1,4,6,6,3,NA,NA,NA,NA,1,1,2,98,1,1,2.167569133,2.524667708,0.926107935
"6",2012010006,25,6,3,2,2,8,1,5,1,2,1,3,4,3,3,1,NA,NA,1,2,1,NA,NA,1,6,8,3,2,2,2,2,NA,2,4,1,1,1,2,1,1,2,1,1,1,2,2,3,2,1,1,3,3,3,3,3,1,1,2,NA,1,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,9,-98,1,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2,NA,1,2,4,2,1,4,6,1,1,1,1,6,3,NA,NA,NA,NA,1,1,2,1,1,1,0.513482561,0.423950682,0.520620429
