"","NFCSID","STATEQ","CENSUSDIV","CENSUSREG","Gender","AgeGroup","GenderAge","Ethn","Edu","Marital","Living","MaritalCohabit","Children","Inc","Version","Employ","EmploySpouse","RetireStatus","PTStudent","School","HHKnow","FinConSat","RiskPref","SpendInc","ExpDiff","SaveEmer","SaveCollege","RetireCalc","RetireCalcPre","IncDrop","CreditReport","AdviceDebt","AdviceSaving","AdviceLoan","AdviceIns","AdviceTax","CheckCashing","IncRec","PayCash","PayChecks","PayCredit","PayDebit","PayPrepaid","PayOnline","PayMO","PayMobile","AcctChk","AcctSav","AcctOD","AcctEver","AcctInvest","RetirePlan","RetireEmplyr","RetireChoice","RetireSelf","RetireContribute","RetireLoan","RetireHardship","HomeOwn","HomeOther","HomeMtg","HomeEquity","HomeUnder","HomeLate","HomeFore","DebtCC","DebtCompare","DebtAuto","DebtStudent","DebtStudentConcern","DebtLevel","Wnatl","Wdiv","Wstate"
"1",2012010001,24,4,2,2,5,11,1,6,4,1,3,5,5,1,1,NA,1,NA,NA,NA,7,4,3,3,98,NA,98,NA,1,2,2,2,2,2,1,2,3,2,2,1,3,3,2,3,3,1,1,2,NA,1,2,NA,NA,1,1,2,2,1,2,1,2,2,1,2,2,1,2,2,NA,4,0.363417416,1.260305219,0.631539715
"2",2012010002,10,5,3,2,5,11,1,4,1,2,1,5,2,1,8,6,2,2,NA,3,3,1,3,2,2,NA,NA,2,2,2,2,2,2,2,2,NA,3,2,2,3,1,3,2,3,3,1,1,2,NA,2,1,3,98,2,NA,NA,NA,1,2,2,2,NA,NA,2,7,NA,2,2,NA,1,1.17359319,2.956766129,1.005696837
"3",2012010003,23,3,2,2,6,12,1,4,4,1,3,5,3,1,8,NA,2,2,NA,NA,3,5,2,2,1,NA,NA,2,2,1,2,2,1,2,2,NA,3,3,2,1,3,2,1,3,3,1,1,2,NA,2,2,NA,NA,1,2,2,1,1,1,1,2,98,1,2,4,2,2,2,NA,98,1.577671128,1.168196715,1.025873396
"4",2012010004,14,3,2,2,6,12,1,2,5,1,3,6,2,1,8,NA,2,2,NA,NA,4,1,1,2,2,NA,NA,98,2,2,1,2,1,1,2,NA,3,1,2,1,1,3,1,3,3,1,1,2,NA,1,2,NA,NA,1,2,2,2,1,2,2,2,NA,NA,2,3,1,1,2,NA,5,1.577671128,1.53150393,1.179333615
"5",2012010005,44,7,3,2,2,8,2,4,1,2,1,3,4,1,4,2,1,2,NA,1,5,3,1,2,1,1,2,NA,1,1,2,2,2,2,1,NA,3,2,3,3,1,2,1,3,3,1,1,2,NA,2,2,NA,NA,2,NA,NA,NA,1,2,2,2,NA,NA,2,7,NA,2,1,1,7,2.167569133,2.524667708,0.926107935
"6",2012010006,25,6,3,2,2,8,1,5,1,2,1,3,4,1,1,2,1,NA,NA,1,6,8,3,2,2,2,2,NA,2,1,1,2,1,1,2,2,3,2,1,1,3,3,3,3,3,1,1,2,NA,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,NA,6,0.513482561,0.423950682,0.520620429
